slug,title,Year,link,blurb,School name,Helpers,Head
Japan202one,The Brave New Virtual World,2021,https://www.amazon.co.uk/dp/B09DN35G9H,"“Oh my god! I’m trapped in the internet world!”
In the year 2XXX. Nano-chip technology has advanced so far, the world has lost the distinctions between being online and offline. Humans have been robbed of their jobs by sophisticated AI and, the only place they can work, is the virtual world called AMYIS, but a shadow is creeping up…… ",Adult,,#N/A
STMCA2021,The Clear vision,2021,https://www.amazon.co.uk/dp/B091WHXRVN,"Facing eternity as an immortal being but with the curse of losing his mind and his sense of self, a doctor, alone in the world, commits a desperate act.",St Thomas More Catholic Academy,"[' ', ' ', ' ', ' ']",No
UCLAN2021,Divide & Cancel,2021,https://www.amazon.co.uk/Divide-Cancel-T-M-Cooks/dp/B095NP7WX5/ref=sr_1_1?dchild=1&qid=1622539470&refinements=p_27%3AT.+M.+Cooks&s=books&sr=1-1&text=T.+M.+Cooks,"Four friends, four families and four fantastical beings.

A modern world where humans live alongside Fae and Witchkind, and where 
Fae have secretly ruled over the Earth for centuries. Join a group of 
four teens - Blaine, Dente, Evadne and Mejuri as they uncover 
truths, deep secrets and discover who they really are. As a social media
 movement spills out onto the streets, the friends face a battle they 
could have never expected. 

#CancelWitches #StopBelievingInFae",University,"[' Helen Fiona Day', ' Daniel Waller', ' Ed Griffith', ' Angela Kilpatrick', ' Mathew Davies']",#N/A
UofG2,Everyday Magic?,2021,https://www.amazon.co.uk/Everyday-Magic-C-Wheeler/dp/B097X7LZLD/ref=sr_1_4?dchild=1&keywords=c+wheeler&qid=1632136255&qsid=258-4060429-0039521&sr=8-4&sres=B01AXMGEP4%2C0901503835%2CB08QBPSB21%2CB097X7LZLD%2C064810916X%2C1419697129%2C090150369X%2C1941701248%2C152870990X%2C1624038190%2C1479221589%2CB089XZRV6Q%2C0806140852%2C1526105187%2CB00WGZPFV6%2CB0931VDWML,"From the discovery of a magical land, to a day at the beach, this book contains a collection of thirty-nine poems and short stories for children written by people from across the UK, about moments of everyday magic. ",University,['Unknown helpers'],#N/A
Spaced1,Calm Before the Storm,2021,https://www.amazon.com/Calm-Before-Storm-TM-Cooks/dp/B09B36MNYR,https://www.amazon.com/Calm-Before-Storm-TM-Cooks/dp/B09B36MNYR,St Margaret Ward Catholic Academy,"[' Nikki Barnett', ' Rebecca Munden']",Google
accMuseum,Trouble in Paradise,2021,https://www.amazon.co.uk/dp/B09CRCHNLX,,Macclesfield Silk Museum,"[' Ann Wright', ' Natalie Lane', ' Wren Jones', ' George Tew', ' Rachel Mortishire-Smith', ' Alex Sparrow', ' Tim Lightfoot', ' Dan']",Google
Spaced2,Ink,2021,https://www.amazon.co.uk/dp/B09CL18CFD,,St Margaret Ward Catholic Academy,"[' Nikki Barnett', ' Rebecca Munden']",Google
Orme,The Missing,2021,https://www.amazon.co.uk/dp/B097X7B7FV,,The Orme Academy,"[' Claire Woolley', ' Leah Hamer', ' Alex Sparrow']",No
Orme2,Blast from the Past,2021,https://www.amazon.co.uk/Blast-Past-TM-Cooks/dp/B09HG2RVGV/ref=sr_1_1?keywords=Cooks+%22Blast+from+the+Past%22&qid=1635938317&s=books&sr=1-1,,The Orme Academy,"[' Claire Woolley', ' Leah Hamer', ' Alex Sparrow', ' Carolyn Mason']",No
HS2021,The Werewolf's Revenge,2021,https://www.amazon.co.uk/dp/B099TLJPL1,,Middlewich High School,"[' Emma Grant', ' Claire Livesey']",
